name,url,delay_ms,width,height,codec,bitrate_kb,status
法治天地,http://[2409:8087:5e08:25::4]:6610/000000001000/9001547084732463424/index.m3u8?channel-id=bestzb&Contentid=9001547084732463424&Ace,0,,,,0,失败
海南自贸,http://153.0.171.163:85/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0,429,,,,0,有效
海南新闻,http://153.0.171.163:85/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0,429,,,,0,有效
法治天地,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225994/index.m3u8,0,,,,0,失败
It's BIG BRAIN TIME!,https://live.ottiptv.cc/bilibili/742699,994,,,,0,失败
吉林都市,http://live1.jzjsnm.cn/live1/jishidushi.m3u8?auth_key=1674380330033-0-0-b8c9ed7f3a790cf65454850352106e7e,1189,,,,0,失败
想干嘛干嘛（O-O）,https://live.ottiptv.cc/bilibili/25899640,907,,,,0,失败
吉林生活,http://live1.jzjsnm.cn/live1/jishishenghuo.m3u8?auth_key=1674380476676-0-0-cd401b455ebeb76bd3a057bccd6c89b8,396,,,,0,失败
CCTV8电视剧,http://2280.eu.org:1234/624878356,1559,,,,0,失败
CCTV8电视剧,http://mg.cttv.vip/624878356,1650,,,,0,失败
啊？我也会建模？！,https://live.ottiptv.cc/bilibili/1951595969,1703,,,,0,失败
摸鱼,https://live.ottiptv.cc/bilibili/8450060,1711,,,,0,失败
CCTV8电视剧,http://38.75.136.137:98/gslb/dsdqpub/cctv8hd.m3u8?auth=testpub,122,,,,0,失败
青海卫视,http://198.204.228.26/live/qhws.m3u8,218,,,,0,有效
法治天地,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225994/1.m3u8,0,,,,0,失败
吉林影视,http://live1.jzjsnm.cn/live1/jishiyingshi.m3u8?auth_key=1674380437010-0-0-2823bd78571c8e4ad0fa5a7c79736217,187,,,,0,失败
开播,https://live.ottiptv.cc/bilibili/30466888,1022,,,,0,失败
中二大帝妮可姬,https://live.ottiptv.cc/douyu/9612400,2263,,,,0,有效
靖天戏剧,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv058,469,,,,0,有效
法网难逃！天网狼蛛如何束手就擒,https://live.ottiptv.cc/yy/1382736817,2454,,,,0,有效
YY用户,https://live.ottiptv.cc/yy/1382745094,2519,,,,0,有效
大笑影院,https://live.ottiptv.cc/douyu/10329300,2556,,,,0,有效
内蒙农牧,http://play1-qk.nmtv.cn/live/2320general.m3u8,917,,,,0,有效
动画大师姐,https://live.ottiptv.cc/douyu/9742136,1199,,,,0,有效
CCTV8电视剧,http://38.75.136.137:98/gslb/dsdqpub/cctv8k.m3u8?auth=testpub,70,,,,0,有效
法治天地,http://[2409:8087:1e01:20::3]:80/PLTV/11/224/3221225994/1.m3u8,0,,,,0,失败
国画没骨，治愈夏日~,https://live.ottiptv.cc/bilibili/31041502,908,,,,0,失败
WWE开播,https://live.ottiptv.cc/bilibili/32538672,635,,,,0,失败
吉林乡村,http://live1.jzjsnm.cn/live1/jishixiangcun.m3u8?auth_key=1674380589625-0-0-8edf21ffa5a7c0910baca4085d788b29,184,,,,0,失败
邱淑贞-电影,http://103.236.91.126:3366/live/lunbo/huya/hylive.php?id=11352949,239,,,,0,失败
内蒙少儿,http://play1-qk.nmtv.cn/live/2318general.m3u8,429,,,,0,有效
青海卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=qwER8d&tk=FgM0vQMejxvG,505,,,,0,有效
靖天映画,http://4gtv.cnlive.club/channel/n610faa83/index.m3u8?q=1782639885837,2438,,,,0,有效
神探狄仁杰二,http://103.236.91.126:3366/live/lunbo/yy/yy4.php?id=1382737888,257,,,,0,失败
